"","KC1","KC2","KC3","KA1","KA2","KA3"
"Mtx1",156744720.3,152466050.9,120424128.9,103613258.8,100361585.4,99444759.02
"Mtx2",138452509.8,136353573.7,142773446.2,136549442.3,140777216.3,139408584.2
"Mug1",188160740.7,231265764.4,241789720,82164056.57,190710028.4,127414768
"Mug2",6727855.575,4465902.769,1188451.61,10731713.82,6223625.513,8132727.991
"Mup14",15352862.74,36257341.64,16653789.18,8561946,9054097.725,27296920.38
"Mup17",7279335.371,28420902.12,9740942.62,3519047.937,4489371.694,28233474.7
"Mup20",18431448.49,24338069.29,13148136.85,29875406.52,53388426.6,47158391.26
"Mup22",33995992.4,58597248.99,35815401.88,82762903.45,140621677.3,272717432.9
"Mup3",36511619.97,34541430.26,35262146.54,138381105.8,174888923.2,195841577.4
"Mup7",26691564.69,62998279.97,30041448.45,0,6004391.666,57027780.18
"Mustn1",0,0,1586051.894,4182103.329,3885985.478,2907878.456
"Mvb12a",0,0,0,3037968.81,1223322.38,2699269.074
"Mvd",18843349.86,15119042.57,18362268.74,6446953.219,5614484.229,11110875.96
"Mvk",4025767.535,4648384.738,3494177.681,3208608.754,3263035.949,3582963.986
"Mvp",65707336.22,67538708.25,74802218.06,406995306.3,391017130.5,392410389.5
"Myadm",4669191.532,0,1768283.556,24909022.47,21875344.81,20450419.49
"Mybbp1a",48641214.5,39931524.35,42739311.96,93199758.79,98259930.76,84374279.27
"Mycbp",17703019.19,19378519.2,18721707.67,31990099.87,25696274.62,32766297.62
"Myd88",0,0,0,3028766.122,2453748.084,2280593.616
"Mydgf",37856484.15,38608537.5,40059714.6,40206046.71,42376319.69,18858533.16
"Myef2",9158533.817,12650235.04,10346073.78,28576387.55,28608790.41,26905926.8
"Myg1",52408723.58,54069825.57,49654098.16,59463823.46,53538726.82,53653714.29
"Myh1",0,0,0,0,0,0
"Myh10",160599998.6,153084037.4,197706408.6,352657007,369952031.9,313891433.3
"Myh11",157345259,182191087.2,170926879.9,338705550.6,309773024,290080449
"Myh14",10925928.89,16835051.26,11719691.7,2921072.868,2867065.297,4665158.813
"Myh2",15658359.54,10252165.13,9891245.863,19297873.34,15347529.65,14457387.01
"Myh4",0,0,0,0,0,0
"Myh9",1962480524,1980577738,1958667809,6345819001,5942415327,6016893921
"Myl1",0,0,0,0,0,0
"Myl12a",13843070.69,23850147.88,17435775.25,74550695.51,68873704.75,71383995.26
"Myl12b",4141624.721,3790857.341,2638011.345,0,0,0
"Myl3",0,0,0,0,0,0
"Myl6",495373443.9,461474497.3,508891677,1456132858,1366282302,1315780107
"Myl9",36342598.88,38381578.1,38591728.36,53841917.31,50158420.71,53966924.36
"Mylk",140554059.9,157762640.6,119843320.2,206786094.1,193406014.8,186056780.9
"Mylpf",5948319.205,7511242.958,13133935.56,7334330.836,0,0
"Myo18a",69046205.12,72588867.92,71508495.23,110002304.9,112201069.4,125864495.3
"Myo19",0,0,0,2493120.932,2246871.17,2129499.789
"Myo1b",24120869.78,20667698.99,18178712.32,74089908.51,71280932.28,73303979.36
"Myo1c",214650576.6,202392528.9,255112436.3,505876751.9,464705944.1,472670838.8
"Myo1d",68916174.46,61682968.01,61785612.55,169559995.1,146049849.5,151753106.9
"Myo1e",72548829.56,71216296.63,67685931.31,61081505.8,58454292.17,56703819.88
"Myo1g",9914589.876,10679057.95,7707416.147,11192032.72,11541989.14,12601752.86
"Myo5b",13242619.17,13329659.77,18388482.18,10612567.32,2382866.361,7192879.162
"Myo7b",103472264.7,110460161.7,101688313.5,80210370.69,63526083.01,84416516.13
"Myof",31069853.73,38864507.85,32790215.36,856637967.5,764612079.9,804510209.7
"Naa10",18525914.59,15051857.12,13425877.17,33513611.06,25444221.75,15613338.18
"Naa15",17424736.09,19389348.52,29064806.8,51768649.55,55837025.41,51310766.15
"Naa25",3656007.426,1363654.296,1620930.925,5427101.215,6294620.982,7296325.492
"Naa50",7349830.522,8975914.841,9606226.405,12831066.43,9312367.302,13664756.78
"Naaa",0,0,1431485.006,15789895.29,11360296.25,13873171.36
"Naalad2",3141191.285,3550748.46,4462441.738,7469555.801,6486583.228,7326483.664
"Naca",49759563.34,43760472.79,51191600.39,44205506.95,38592146.45,54859615.1
"Nadk",1396481.884,0,0,1261947.231,3448914.624,2975999.217
"Nadk2",13963935.77,12285245.17,14475822.9,7046398.951,8420034.03,6453940.298
"Nadsyn1",0,1336601.059,1431712.617,0,0,0
"Nae1",12231328.11,9575564.07,9956552.795,27596439.4,24066805.94,24897498.82
"Naga",57563448.26,54605558.55,56623605.67,177411710.3,176366511.2,183396370.4
"Nagk",5042168.67,2317684.14,8986819.099,19421094.89,11739886.33,20835600.22
"Naglu",2319817.729,4403109.698,1733532.076,8744129.908,7134023.608,7965497.42
"Nags",22558042.11,10109244.97,32197347.22,992773.1579,1206354.955,1707599.111
"Nampt",339937405.9,277551804.8,275306525.1,439097341.7,441685186.4,391016403.7
"Nans",29098726.27,25023856.84,24227211.94,63681383.67,56295439.07,62569411.04
"Nap1l1",61637308.57,56013532.1,62552475.68,92828631.32,90368986.83,85623365.61
"Nap1l4",19618126.51,18756317.15,20739657.67,51992711.59,41294068.67,46897739.22
"Napa",84421997.13,75695893.75,67951347.64,99842361.61,89500807.59,131133670.2
"Napg",25791311.69,21845897.08,20680876.82,31589830.35,36226537.35,31461693.45
"Naprt",30069679.39,34244908.84,24799739.34,29023890.36,22480111.48,32423724.09
"Napsa",42389155.37,37282450.35,48709541.41,15108001.67,11373415.87,15257897.4
"NARS1",155824446.2,147694607.6,154316390.8,196249153.1,174095381.9,173968696.2
"Nars2",2169886.594,2274847.576,7003753.994,2868544.798,6841975.878,3197111.776
"Nasp",2486081.427,2187856.271,2114886.862,6690290.183,6903239.299,5212120.273
"Nat2",24396417.39,19567348.96,20159785.46,14667242.49,13155976.72,9657928.847
"Nat8",33498243.59,30114922.74,31209648.49,2543790.455,0,2361191.844
"Nat8f1",124181033,107933504.3,102349359.9,6588165.924,6411934.032,13161525.91
"Nat8f2",1721652.906,0,0,0,0,0
"Nat8f3",73566850.67,66223334.48,64465327.5,5298015.898,1520352.058,6120499.323
"Naxd",102427383,98581242.01,102208728.8,99804291.17,86505968.24,102830052.8
"Naxe",218506759.8,222208316.1,223571393.8,242820908.6,221149625.8,240728595.1
"Ncbp1",3710935.785,1474660.663,3242928.917,10866530.34,7588433.02,9761054.668
"Ncbp2",2750424.193,0,3964354.788,7415176.098,5479956.417,8737535.837
"Nccrp1",12104453.54,47304874.64,87499840.34,29325187.58,49445428.33,34214458.96
"Nceh1",181061566.8,192572453,181515994.9,73038378.71,68820820.96,80886826.36
"Ncf2",0,0,0,5120353.722,5801716.089,5191329.605
"Nck1",0,0,0,4043780.606,4970406.968,4255628.448
"Nckap1",52621164.95,54528369.81,49208709.74,95960847.11,85814578.93,91841645.28
"Nckap1l",0,0,0,0,0,3490015.141
"Ncl",280986267.5,252548060.3,280327239.1,756282874.5,679732170.9,678789895.3
"Ncln",51840931.08,53633524.39,55775367.05,47648980.39,51681829.66,57907195.25
"Ncoa5",0,0,0,5231498.432,2499893.923,8294002.847
"Ncoa7",1387754.027,1098881.362,1330388.727,1237062.874,783850.3604,759919.0766
"Ncstn",6418425.453,6477159.742,7093222.41,19158947.77,19259666.79,15773543.16
"ND1",39833960.97,40490497.52,41517507.7,37321285.51,38156380,38045080.32
"ND2",4679266.282,4132656.136,4412539.692,4562098.01,4911268.315,7293696.957
"ND3",43913275.76,36782841.48,30886223.78,26846493.81,29474127.71,36354772.18
"ND4",66368438.15,57158799.76,76948776.28,50502049.17,37852320.81,51241201.74
"ND5",50990595.02,52293761.62,70576432.42,43079968.16,46541175.41,46969203.5
"Ndrg1",1878833743,1617251201,1492237690,1018506173,972749166.7,970509238.5
"Ndrg2",28188812.56,35474395.77,26304611.3,19962200.93,27114291.6,28755770.08
"Ndrg3",12323393.88,5079315.444,12534141.15,4581141.614,5172074.249,5650121.599
"Ndufa1",29670958.84,26578878.37,29921951.2,26286322.08,27218364.44,31251562.65
"Ndufa10",657630369.6,644968205.6,644962210.7,656143512.3,689582845.1,656277671
"Ndufa11",73670078.45,30619748.85,64352399.59,88140517.95,85969116.33,100463157.8
"Ndufa12",323574477.7,346633823,332556512.6,347246527.9,336311682.5,345331847.9
"Ndufa13",310078326,296057374.9,288172064.5,295902838.6,291372751.2,298557785.5
"Ndufa2",192468392.9,206427160.1,186904918.2,160573752.1,176674737.6,175320521.5
"Ndufa3",145192083.1,135868194.8,130180855.7,131523674,144284755,140990461.3
"Ndufa4",721493482.2,818797426.3,714679661.3,725642118.6,800074633.9,776636265
"Ndufa5",300442835.8,258071187.7,261095505,253952321.8,336426981.2,386842987.3
"Ndufa6",380125231,389017750.3,370969170.4,299041431.7,308794674.1,338399031.2
"Ndufa7",328010792.6,346008611.1,382627761.4,386416443.7,441493291.3,430582696.6
"Ndufa8",584945453.7,578453641.5,562322812.1,428179764.6,498102257.2,485311652.6
"Ndufa9",709662394,616299024.4,694870172.5,589929536.6,602035408.4,551079231.2
"Ndufab1",300630965.1,342693251.6,333556007.8,349650923.5,366559740.2,331112521.1
"Ndufaf1",16717037.34,17532407.98,17143732.79,6542228.936,7141143.766,9871479.793
"Ndufaf2",35869384.04,36918902.99,28034641.38,28192618.44,36030607.47,35620999.96
"Ndufaf3",17409444.2,16027460.52,9875242.437,18865835.05,13448385.72,12247332.43
"Ndufaf4",9278504.841,8681525.253,9844266.678,8691083.726,9337311.988,8507787.731
"Ndufaf5",2847542.077,3179806.273,5495214.068,23030811.85,21767553.08,21113784.65
"Ndufaf6",3790527.779,3996773.87,3897124.166,0,0,0
"Ndufaf7",14744710.14,10266645.48,9950603.626,12637746.79,16127301.5,12280601.08
"Ndufb1",73870519.64,70968662.41,64519420.88,113798230.3,98868938.39,95953443.61
"Ndufb10",462455235.2,400103269.5,457488834.8,375650044.3,382004048.2,396926202
"Ndufb11",189423099.2,192876072.1,191393414.2,183166377.8,178674242.8,181497489
"Ndufb3",146003336.1,144671303.2,143301083.7,161158866.9,166304478.9,163525061.1
"Ndufb4",239906119.3,240463039.2,241327649.7,281533458.1,224271149.8,248603484.9
"Ndufb5",229422444.5,234514747.4,253058782.4,202487509,223848627.9,225485172.7
"Ndufb6",174475814.3,168358165.6,178921649.7,164913678.6,168900552.9,182822704
"Ndufb7",235665534.9,219254195.2,234768017.3,204723372,186945596.6,206961072.6
"Ndufb8",239614936.6,227761408.1,207404902.5,246477315.7,227567231.7,233921454.1
"Ndufb9",350589668.3,355775218.6,315909154.4,295890666.7,304189925.1,307957823.2
"Ndufc2",296060587.9,337455215.4,348465615.8,302695312.5,289083383.7,333097105.8
"Ndufs1",1517010909,1463064539,1529862761,1531540727,1539193401,1583416924
"Ndufs2",737904415.3,711485235,723172692.2,667818148.9,598930250.4,665347430.6
"Ndufs3",395346914.2,417686717.3,420236797,396220745.7,417196828.4,413518795.2
"Ndufs4",417972966.7,412951560.2,424285238.1,405440497.7,387704004.3,396024845.7
"Ndufs5",284496670,298851307.7,312588066.6,299129029.3,311920837.3,308138562.9
"Ndufs6",420553529.9,398900784.8,445648215.1,418079100.6,434936441.8,428800517.3
"Ndufs7",242534928.7,255909802.6,257149884.3,242717584.4,256819274.6,251897835.4
"Ndufs8",217930621.4,225818383,225548870.5,200510161.6,209293239,213932330.2
"Ndufv1",817301796.7,804603977.9,780231580.9,706086472.7,705521879.3,713381245.7
"Ndufv2",279729803.1,269546199.2,261976384.8,305336379.5,301541153.5,285758986.9
"Ndufv3",213852470.8,212133816.3,220270921.9,105550489,113867462.9,105353909.8
"Neb",1601236.99,0,2043084.726,0,0,0
"Nebl",0,0,0,4386309.547,16518068.48,11797432.34
"Necap2",17480692.91,11781042.27,14385194.8,25832055.96,23292349.02,22880619.84
"Nedd4",38662103.75,51070901.69,52930403.76,99824509.86,108152014.9,108408792.9
"Nedd8",32502796.67,30410187.25,37687866.78,56013655.94,55394074.93,57148832.36
"Nek7",16362435.17,9787588.268,6869181.486,26310197.49,23550440.39,18682773.56
"Nemf",0,0,0,2167478.95,1583550.265,1684113.412
"Nenf",4973965.178,5228009.775,2463903.215,5907104.48,5369721.023,5121829.284
"Nes",2748821.253,4305704.6,7365662.648,70784845.32,67669012.6,41521028.18
"Neu1",27664439.87,28956949.17,18719683.79,22660121.61,15733068.23,31787423.54
"Nfatc2",0,0,0,261404.4704,303137.9239,233164.5018
"Nfia",0,2367376.692,4564811.704,3975370.007,1669949.636,3034014.944
"Nfkb1",932060.1127,3294695.495,0,18345318.76,23122017.63,20465575.33
"Nfkb2",0,0,0,3575945.699,3981261.203,0
"Nfkbie",0,0,0,0,583822.9033,757061.2274
"Nfs1",140395691.9,133131294.9,138614540.3,91064993.19,87299204.48,90257499.4
"Nfu1",41124515.48,24172211.48,21006748.97,48381116.93,59742959.16,47501985.08
"Ngly1",1937688.996,2030482.395,1878004.971,2690810.525,3533956.203,3282354.682
"Ngp",1841856.228,0,0,7582391.987,7808859.513,0
"Nhlrc2",6902544.654,6168409.824,5492220.331,9860524.806,13999720.48,7759510.367
"Nhlrc3",6044040.788,4769231.056,4668504.605,7928453.394,8690543.464,9571024.188
"Nhp2",4955918.873,2604299.89,7812071.088,18798697.18,13115666.92,17827114.48
"Niban1",12735188.49,17068124.59,18118975.68,80929730.31,70376298.21,84294450.56
"Niban2",28124405.23,22072453.41,31002999.85,69759010.9,62594784.3,59789487.12
"Nid1",400671156.9,390603606.3,416812678.2,989389645.4,914316587.2,886150285.8
"Nid2",255388245.7,257434432.5,248366587.1,569230551.8,564369178.3,530440808.2
"Nif3l1",21408590.15,17665558.48,18785929.57,20732657.6,20772031.86,27383612.25
"Nifk",0,0,0,0,0,0
"Ninj1",11934644.22,0,11879345.13,7847363.11,11544393.89,1727366.635
"Nipsnap1",461182151.6,480539734.7,524078921.4,208801444.3,200383961.8,227974846.8
"Nipsnap2",101310209,109909243.6,130640364.7,209498798.3,179165274.7,207332276.7
"Nipsnap3b",19646482.77,14570988.03,23567121.32,48120136.8,49729837.16,51558874.36
"Nisch",5829934.702,2586810.596,10986378.94,19533507.94,18295904.96,15666978.51
"Nit1",376712615.3,351023077.9,356949110.6,216502178.1,186937621.6,188789213.1
"Nit2",477973535,459741437.2,471805939.9,163345270.6,164497420.8,159279210.6
"Nln",26298119.69,25042254.27,20831028.4,46089072.4,37472212.37,49277998.67
"Nlrx1",5673007.705,6168849.007,5199521.23,4085687.868,3844617.2,3306951.931
"Nmd3",0,0,0,1732899.982,2136397.784,1861527.039
"Nme1",58981149.49,75692999.81,82929532.87,94302688.92,86331057.02,110933120.9
"Nme3",62464711.54,59633948.34,58497397.94,37517941.47,34270680.78,34970383.31
"Nmi",0,0,0,15849527.13,18983457.85,16679986.05
"Nmnat3",10672205.58,7784196.245,5363836.59,2912636.838,2338196.415,9335890.328
"Nmral1",33425426.08,35885804.53,33376403.17,2280176.929,2653267.745,1534025.883
"Nmrk1",5925413.603,5890769.986,5376283.569,3317212.659,3496576.043,3375655.066
