"","KC1","KC2","KC3","KA1","KA2","KA3"
"Cdc16",4829493.745,4005289.603,4169602.578,6601711.566,5825335.115,5613322.111
"Cdc37",42300194.38,37566657.73,41551234.99,60108869.87,65935317.79,67010398.5
"Cdc42",357447019.9,683942533.5,384771425.7,575587269.6,533353260.4,534564650.8
"Cdc42bpb",40712782.18,43592943.65,46838553.83,60656755.65,64829694.06,61249249.96
"Cdc42bpg",1668649.664,0,0,2861634.434,6047977.528,6617046.249
"Cdc42ep1",0,0,0,3162787.659,3333494.113,6182944.472
"Cdc5l",4598875.834,2875641.533,3961181.255,16256034.99,14328225.02,7815142.136
"Cdc73",0,0,0,1362530.592,0,0
"Cdh1",36706493.68,34248801,48429390.26,61212707.99,71957939.94,70956102.51
"Cdh16",1218267792,1120676920,1099817541,1102593285,1107052785,1211680268
"Cdh2",10432515.68,13334922.29,8216840.094,14042826.07,15903260.72,7014535.486
"Cdhr2",4786901.136,6255444.06,6010969.774,11705498.51,9905748.912,11843589.58
"Cdhr5",42178345.89,40182437.32,38549416.32,48243706.72,43985083.74,40863762.62
"Cdipt",23110898.73,15691856.28,24861621.16,33381799.78,31947940.37,32644298.29
"Cdk11b",1971174.261,0,1646158.547,5621222.958,4625690.395,3904502.017
"Cdk4",0,0,0,2031815.686,0,3522353.225
"Cdk5",6698255.67,1399745.805,5555377.917,14703623.45,12480862.24,13583466.11
"Cdk5rap3",4432087.216,12013754.68,5738589.337,11244622.38,4562400.013,11659273.98
"Cdk9",1146326.79,0,0,1828401.067,1812332.321,2026480.045
"Cdkn2c",5918993.291,4431943.484,4803987.038,5898555.051,8310323.651,6682015.251
"Cdo1",0,0,0,4706033.092,4841818.318,5399133.948
"Cds2",24133030.16,24760181.08,22516730.78,25104243.75,29998700.96,21505136.29
"Cdv3",20082425.8,16781546.45,15413220.64,47153109.9,40499885.97,40283632.95
"Ceacam1",0,0,0,1973748.151,0,0
"Celf1",15996425.87,11165778.85,15190134.98,16354214.03,15244033.67,21647943.01
"Celf2",0,0,0,2349927.035,0,2230358.368
"Celsr2",149916.2541,172172.3899,137125.8586,280863.9598,555674.0368,294162.3458
"Cemip2",0,0,0,799727.8083,1308397.756,1828792.926
"Cenpv",51425846.05,47314218.92,51493143.9,53359876.72,45880896.29,51564098.75
"Cept1",3300342.896,3701263.371,3489226.771,4973843.383,5095233.841,4782820.864
"Cers2",23435430.75,19813865.08,21820929.24,29741254.88,24061985.94,25985547.85
"Cert1",4893400.47,5910507.371,4537277.869,0,4712355.667,3333442.213
"Ces1",18312025.98,49967456.3,30939766.05,8029194.782,16456997.98,17978424.26
"Ces1b",0,0,0,0,0,0
"Ces1c",51596181.28,52867821.35,69337142.13,90232272.49,154915275.7,98254096.82
"Ces1d",635845456.3,595154676,548920801.6,110315470.8,123863272.2,105438305.4
"Ces1e",30566103.6,32986294.42,33270079.58,4303704.702,7178937.306,4505441.725
"Ces1f",1507996080,1479603432,1440810626,55613997.79,58633045.76,66956403.79
"Ces2a",47805109.56,66730227.87,62533784.43,26731885.93,18928236.14,25123137.51
"Ces2c",747861235.5,804884846.4,682822724.9,49243517.81,74604563.12,90119916.86
"Ces2e",7576027.576,0,16157006.01,120034624.3,110873317.9,123164758.8
"Ces2f",12230616.71,11043944.96,5244569.82,8015675.944,4685384.02,7757559.326
"Ces2g",9489716.151,841041.1897,9335474.558,25824823.42,19609078.16,19636657.12
"Ces3a",14476656.66,0,0,0,0,0
"Ces3b",0,0,0,0,0,0
"Cfap36",0,0,0,1598379.755,0,0
"Cfap54",856910.4715,0,0,0,0,0
"Cfd",8977920.175,16332416.67,9558654.153,9360804.459,23337249.4,21761959.33
"Cfdp1",0,0,0,5847272.308,4746648.338,5166162.141
"Cfh",50871420.62,62814727.31,61333962.79,129339341.7,162302819.6,204389008.1
"Cfi",4474675.052,6880721.807,12093242.62,11983123.38,18517734.43,18272107.71
"Cfl1",550029511.4,472883604,550036476.7,1569382556,1233450563,1488091515
"Cfl2",70383810.36,72879221.35,43633583.43,79623890.5,82274218.21,76812743.76
"Cgn",1742528.096,1980558.814,3900463.425,17617360.56,17584259.36,16618816.79
"Cgnl1",66581527.99,55911635.68,56765045.09,54540291.64,49657950.53,41225768.09
"Cgref1",6433179.741,5539257.458,0,0,0,0
"Chchd1",5511941.974,9770674.158,6533173.127,5892720.283,7944438.892,8953568.648
"Chchd3",224853080.3,240135101.6,232351350,205149786.9,243382569.7,247155150.7
"Chchd4",84788137.78,85569728.13,69139378.69,69413607.94,68217395.06,60622961.29
"Chchd5",1231399.143,2414636.267,4049485.815,5108293.908,4490124.843,4463650.769
"Chchd6",56695034.74,76682199.51,79054376.67,99078514.55,74926243.29,64037562.19
"Chchd7",12607366.95,15797690.54,17009162.11,10216114.53,9574279.852,7769305.342
"Chd4",17551026.47,10182677.85,16354060.18,48120257.44,45506350.38,45589007.13
"Chdh",1214862053,1331459349,1420259570,610392495.8,610864929.9,677127487.9
"Cherp",3743633.517,4269105.281,0,9380651.235,7948728.884,7573354.674
"Chid1",3367185.136,3396035.614,1187972.283,5461735.902,6922959.438,7145245.597
"Chil3",83143079.15,58829791.64,65219641.63,146146446.3,103136236.5,142183221.1
"Chkb",0,1709821.889,0,3576231.691,8622421.175,6344621.214
"Chmp1a",8776572.548,5247078.671,10081850.95,17181403.78,14512881.22,15085596.32
"Chmp1b",6316936.615,0,5107071.064,5187032.673,5085943.082,5722276.166
"Chmp2a",7872200.664,7110169.022,4564530.544,13367616.55,12554415.57,14121879.42
"Chmp2b",2989193.685,1985385.048,1017823.318,3710144.019,3040359.483,4267374.21
"Chmp3",11251792.99,10962290.75,17827071.98,19456901.61,17406589.79,18277189.1
"Chmp4b",39597376.76,38827673.39,32414996.25,135074980.2,126965453.9,388635396.2
"Chmp5",7725086.262,7171910.67,9593650.833,19214371.41,59426132.92,17111826.73
"Chmp6",3675999.466,3378968.189,3736956.496,6316681.635,6521321.541,7649120.769
"Chordc1",55304237.94,50867766.52,50413221.71,44458315.97,61196725.57,57497577.75
"Chp1",53289198.36,43070779.29,36778619.65,55660994.11,51021745.65,49062003.1
"Chpt1",2447587.957,3335200.3,2865634.643,0,0,0
"Chtop",11628173.18,20190676.47,19029353.57,41325351.55,37059647.48,37755629.14
"Ciao1",0,3443455.24,1621038.021,8645731.525,8304638.739,5176783.179
"Ciao2a",1781513.412,0,0,2019234.303,0,3523780.662
"Ciao2b",869988.4341,0,575597.8757,5948391.073,5552242.597,5277554.87
"Ciapin1",16490589.58,12888961.59,21163785.97,22041764.77,20319374.55,17658031.02
"Cideb",4058957.275,2358522.054,3716987.131,0,0,0
"Cisd1",745269535.2,751468573.9,691176858.8,450577293.5,465470579.1,462533053.8
"Cisd2",79706089.8,85373679.83,101797896.9,36341186.92,28255134.88,38273539.04
"Cisd3",93758997.56,97909301.96,109126160.4,58888924.08,70087489.68,77544222.85
"Ckap4",2364492.801,3075856.83,3841787.194,84363178.33,76492752.39,58696569.99
"Ckap5",1839242.926,4838566.199,3659100.049,7703745.013,8893465.482,7544981.367
"Ckb",17132356.65,18180454.31,14446561.07,192721357.7,183300970.8,155537029.4
"Ckm",0,0,0,0,0,0
"Ckmt1",379305951.9,353003350.2,367671223.9,603855146.5,647745082.6,690022441.5
"Ckmt2",3045583.33,2422428.437,5183031.573,6127031.475,4863679.74,5544082.959
"Clasp1",0,0,0,3106558.188,3633643.541,0
"Clasp2",0,0,0,0,2833230.558,1673143.304
"Clcc1",2986305.934,2759107.764,3072486.268,0,0,0
"Clcn5",4734805.547,6079144.732,4018069.555,6586381.068,5856637.978,6183598.535
"Clcnkb",16677026.83,13511014.25,12080208.89,31567476.16,18190703.61,22998301.4
"Cldn10",4610898.61,6097225.192,7390818.612,2860992.216,8308408.453,9037949.772
"Cldn2",8740479.326,6636187.252,8953779.332,0,0,0
"Cldn3",3141577.683,3424226.606,3917614.159,9268981.895,8053631.809,7756832.309
"Cldn4",0,1091501.191,0,10033586.5,8668821.073,9413138.069
"Cldn7",0,0,0,6260390.442,5327785.995,5179910.114
"Cldn8",2108059.277,3080964.86,2884543.471,0,0,0
"Clec2g",0,0,0,971748.561,1120320.956,0
"Clec3b",3373124.743,3666677.353,2233679.908,8003471.604,7236788.065,2092546.792
"Clec4f",1670231.145,1430221.317,1732419.294,0,0,0
"Clic1",518959496.1,436078131.6,511217630.5,865379854.9,826932173.3,861687590.1
"Clic4",366519469.8,350887197.5,378176826.9,362198660.8,362487650.4,355395710.3
"Clic5",64820616.92,65754843.04,64086996.42,65106144.77,61262641.67,50618738.39
"Clint1",85034637.29,75475984.31,57272028.7,144192584.6,146505373.8,143744328.9
"Clip1",13133165.72,13514263.93,16830028.22,3383685.43,8290768.404,3298827.07
"Clip2",0,3980630.798,4003614.331,4445073.04,4676429.701,4858588.732
"Clmn",21918783.57,17328837.16,19728361.99,20756020.75,10383864.02,10943623.99
"Cln5",0,0,0,1540907.083,0,1698600.182
"Clpb",25034705.2,20997917.01,25840463.22,15233472.58,14899610.91,15867813.49
"Clpp",140929778.3,135713244.7,145828880,93436478.3,146435784.7,137378377.3
"Clptm1",35489575.29,35316727.48,40094614.86,31926676.17,32171032.52,25646207.84
"Clptm1l",0,0,1011983.198,2933407.235,2412515.061,2157167.991
"Clpx",72264678.41,62825504.29,58976707.52,23036667.5,25191830.91,28795766.35
"Clrn3",0,8002717.469,10035868.72,0,12101343.73,0
"Clta",223721054.6,207479779.2,228740184.6,296549674.2,287217716,267163543
"Cltb",163238340.4,151544934.7,153464123.3,182614860.6,188128201.6,193432809.9
"Cltrn",186864937,142533285.1,185480866.6,47823380.8,51648911.3,52590695.81
"Clu",64888919.83,75117311.67,69205833.19,196393590.8,205354920.5,199326935.5
"Cluh",121051211.9,142711536.8,133706833.9,59531851.89,66767854.89,56602836.54
"Clybl",297392028.3,309119558.8,324023534,134033536.2,138020260.7,134401815.9
"Cmah",3760251.601,7251575.624,4880119.266,0,7498453.022,3880107.42
"Cmas",9734181.269,14107411.44,26341881.09,35132789.08,34039664.37,36162289.67
"Cmbl",383602849.9,357657716.8,333835306.3,71645803.94,91394181.84,95481856.36
"Cmc1",2440936.875,2887756.906,2794585.176,2502979.806,3086212.345,3021746.844
"Cmc2",3796470.364,6610674.524,8563095.208,11176891.51,12595395.18,13598648.36
"Cmc4",14701194.42,12809586.18,12655636.48,5761011.29,5760910.081,3162998.453
"Cml5",6577767.666,5693852.4,5517944.999,0,0,0
"Cmpk1",269773571.2,278945935,290635771,290957512.6,297155629,307968672.6
"Cmpk2",33881756.1,34188894.12,38411233.55,47798597.27,56822600.66,44990698.61
"Cmtm6",4845509.591,3571990.943,4954857.16,0,0,0
"Cmtr1",24955455.31,33615723.72,28448439.22,0,1261754.618,1837834.001
"Cnbp",35284125.13,33613872.04,29471235.6,34111733.51,33183750.84,28007068.34
"Cndp2",1153729216,1039198296,1150389980,645695140,574523591.6,605367447.6
"Cnih4",0,0,0,0,17263459.97,0
"Cnn1",5516981.335,3535214.729,17633486.58,29101096.14,27901742.18,26836342
"Cnn2",29387805.6,29553426.66,26779708.7,118245824.1,101969854.6,106576451.7
"Cnn3",98452033.05,96194860.42,100412319.7,207249523.4,214079769.6,224202397.3
"Cnnm2",2019909.411,1956552.673,2854638.151,0,0,0
"Cnot1",1690320.243,7586871.596,8657371.283,6885113.87,6246810.803,2328941.154
"Cnot9",3888791.646,2487267.242,7236242.734,4322128.435,3919905.734,3122619.861
"Cnp",0,0,688056.0371,3112863.046,5917918.298,2976477.035
"Cnpy2",62703628.49,64684431.41,76566331.26,95305312.77,87078729.59,90236311.22
"Cnpy3",0,0,0,3809635.955,4627781.622,4896670.253
"Cnpy4",15997863.02,18198954.21,0,7295759.171,9435166.062,6245383.353
"Cnrip1",0,0,0,0,1943410.6,1586306.28
"Coa3",24458562.23,23527897.04,23637550.62,21804227.85,23218843.05,25878753.82
"Coa5",1887327.156,3412445.125,0,0,0,8252310.052
"Coa6",30605673.18,34056836.18,30406987.16,3405120.459,0,8008078.089
"Coa7",15134780.42,13782454.05,10658499.98,7394933.723,7275504.254,10581429.16
"Coasy",310861900.3,361601532.8,368132549.3,68245379.46,71938891.4,61996611.08
"Cobl",0,955447.3569,759015.0847,1764448.484,1661518.284,0
"Cobll1",208566051.9,202246087.6,230458815.1,154674153.5,167950448.9,145778355.5
"Cog1",5382926.415,5939339.276,2992351.686,5751846.779,5986989.48,8786981.88
"Cog2",1609277.882,0,1273889.203,1937162.866,1867238.079,1135709.696
"Cog3",1239668.896,957840.7714,1655546.906,4929385.605,4586255.366,5135737.606
"Cog4",0,0,580040.7311,1037828.858,1511398.507,1244477.437
"Cog7",1831485.035,1059107.719,1524029.239,2725215.487,2791055.746,2418035.731
"Col12a1",88487325.54,96105721.77,100020682.5,1340951590,1232098696,1196867694
"Col14a1",48666781.59,41984104.57,45634937.59,139146389,72416776.58,97442857.86
"Col15a1",29059011.45,26504518.4,33951835.84,106003055.5,114346737.9,108449170.5
"Col18a1",107632207.1,113345786.6,90503140.77,578031658.1,620859139.2,629598795.2
"Col1a1",117116363.1,213912070.2,205383929.1,753413077.9,880881348.5,655579257.3
"Col1a2",84778409.72,182261487.8,175282903,601508572.9,759087443.2,526996718.7
"Col3a1",0,4653368.361,3350037.93,13915242.41,25647594.79,16489840.63
"Col4a1",143794592.8,137948024.1,161048787.1,345538222.3,362314582.3,353421755.5
"Col4a2",378892554.8,402368218.8,412237840.4,1353224026,1361984194,1180728007
"Col4a3",41487211.54,34394015.32,43951430.02,85886955.83,85973978.58,78024675.14
"Col4a4",55069539.6,49293449.13,54593774.92,89170937.22,91319440.73,79358223.47
"Col4a5",15878106.58,16955950.53,20813802.76,48900506.74,55982578.41,53044588.67
"Col5a2",0,2797556.886,0,3970220.024,4419590.377,3137044.948
"Col6a1",415028770.8,368734323.8,334160017.7,734025449.2,643171704.8,717202100.1
"Col6a2",229304548.1,242574614.9,237855431.3,661253600.9,633054189.1,617262831.5
"Col6a3",746399564.7,763720356.3,748444778.7,1861351411,1725814731,1691802083
"Col6a5",0,1492746.381,0,6923047.973,4280964.861,9241392.011
"Col6a6",6920757.584,5074009.211,5044353.457,5374200.689,3701684.792,4806289.083
"Col7a1",0,0,0,966446.3372,981976.1897,826223.6244
"Colec12",0,0,0,1912026.969,1813951.79,1849180.917
"Colgalt1",1502892.941,0,1309212.773,9179383.883,18908675,15499445.98
"Commd1",0,0,1852424.271,4435364.478,0,4585211.988
"Commd10",2157864.887,2181335.272,2384885.128,4286459.256,4217743.61,4324022.03
"Commd2",7998277.08,12279049.29,10546112.37,9966156.257,11584417.69,9675828.799
"Commd3",6900480.252,2905050.973,7163603.504,10831754.19,11955824.27,11751627.47
"Commd4",5822959.611,1742511.492,5239581.974,10902749.23,10852528.99,11168910.44
"Commd5",7001802.923,6015021.421,5920560.294,13848692.49,11566313.95,14106901.34
"Commd6",15717879.47,14279104.12,14838340.78,26635391.32,18765882.14,22626039.41
"Commd7",1856982.557,1577897.285,1606984.081,3071608.378,2644217.666,2281271.11
"Commd8",0,0,0,4732019.25,2585078.757,3583767.188
"Commd9",1584171.34,1213110.399,3145873.998,15774004.25,15781940.09,5293782.935
"Comt",228318938.5,208197353.3,237690510.6,271891298.9,239753354.7,265424815.8
"Comtd1",19120194.43,22238853.57,25529769.91,25526195.44,29417508.77,27289893.13
"Copa",294110809.1,288216897.7,294779974.6,499115125.8,467909907.3,502387099
"Copb1",176316000.7,163120732.6,190131823.3,314023544.2,260691926.5,303352240.1
"Copb2",133506012.6,148669599.9,136075381.7,204417952.4,211957856.2,192830036.3
"Cope",46018078.3,45525352.69,41065952.26,58066251.4,51733361.67,59426220.13
"Copg1",75635361.9,100520671.6,107365921.3,137651943.9,152365299.5,130473663.6
"Copg2",9947882.782,7581889.54,11050911.58,24633687.53,23611340.1,25463822.38
"Cops2",31431630.9,25356222.05,27891072.94,60757973.38,63246653.7,60757981.32
"Cops3",32271234.72,29773920.99,24665336.6,66117269.5,46561493.54,53944030.54
"Cops4",55403223.67,52200210.62,51031364.58,84022736.73,90104364.97,90900595.35
"Cops5",23341796.63,18339573.48,30662876.51,43565451.7,44001687.59,49729770.52
"Cops6",25052187.03,22173148.3,27737581.83,87742051.12,78662653.98,84710904.05
"Cops7a",42530651.2,41884600.85,39732738.52,68782722.52,54938334.86,60274416.78
"Cops8",58877214.43,63008535.36,66291767.7,28647049.77,32838336.17,32306814.33
"Copz1",17668353.04,11291244.35,12131050.57,30044828.53,26866808.71,29871953.85
"Coq10b",3374586.258,2946419.415,3999219.747,1523829.773,1654150.405,1452963.834
"Coq3",22573998.66,19634432.25,28123483.9,12615716.37,13920640.02,11600852.95
"Coq4",9738727.858,5415641.921,5424253.978,2547252.154,3753397.7,5181407.972
"Coq5",25956936.3,27519039.79,19834668.06,11081278.69,16722882.01,9717284.87
"Coq6",19595217.4,17010032.88,16286289.64,19643131.31,16484056.3,12144557.27
"Coq7",35367960.63,31368970.08,45706070.83,41993222.38,45709341.66,32120783.39
"Coq8a",69617946.97,72202678.74,62323540.65,15438041.55,35426850.25,17660257.55
"Coq8b",1019224.053,818841.7633,1303394.802,4856753.499,3843270.416,4288556.632
"Coq9",347914960.7,331060972.4,336336324.5,253054918.3,204062982.2,215958183.2
"Coro1a",79640213.48,28660728.11,56021577.36,614614588.8,489938555.6,475114057
"Coro1b",128970899.3,109262207.4,117968579.4,293167353.8,250164502.9,268235271.9
"Coro1c",104881535.1,102171815.3,106849986.8,210468014.6,220685380.6,250747119
"Coro2a",0,0,0,2766244.687,2388462.363,2392590.885
"Coro7",29901298.52,39828560.45,41350977.32,55902253.71,48758315.44,48205487.3
"Cotl1",369290689,322844300,302722065.1,752247521.5,616606219.7,713336124
"COX1",173711816,156763142,174796319.2,107646395.5,117523102.5,130595725.8
"Cox11",2000768.058,2224050.407,1679486.249,1666631.263,2032130.101,1793534.962
"Cox15",51464980.05,37205687.96,43965004.9,29324311.44,27954088.92,31041681.87
"COX17",57145175.52,63909158.47,54176130.88,44767695.12,22396561.48,54123841.04
"COX2",2330394802,2327057136,2482373637,2058830019,2196929398,2294291236
"Cox20",13738482.88,14500493.9,14726997.16,8476450.109,5144084.705,7382632.704
"COX3",52185856.96,50098041.89,34163582.35,28909390.03,31505725.24,23851945.1
"Cox4i1",2092906552,1972502503,1934843734,1626616060,1693907034,1744155217
"Cox5a",1231282205,1154056838,1183144003,1226860059,1245339553,1198536345
"Cox5b-ps",1004874228,1011437299,1032170531,959306634.8,1026476809,1009950124
"Cox6a1",297635057,256593824.2,238281106.7,127235601.5,105718371.2,117460564.1
"Cox6b1",1389973643,1330482059,1291986350,1109311573,1174606309,1259310640
"Cox6c",980871402.9,916491805.9,1010785872,898376027.2,943551904.7,978238845.4
"Cox7a1",25075887.88,26938596.71,32946404.78,24653229.96,27906922.17,28109991.7
"Cox7a2",481462189.8,316779612.2,307176342.2,292308545.6,289018907,470716804.1
"Cox7a2l",5346931.473,6438073.233,5009280.69,6215991.193,7524654.877,6071076.775
"Cox7b",61630469.18,90297142.79,93168252.35,90660484.08,64009404.88,68846632.43
"Cox7c",117862560.7,125835083.5,106007938.1,67205300.12,71963474.29,102440026.7
"Cp",75153234.86,97341373.25,86033945.86,193613473.5,235157671.1,189094097.9
"Cpm",31722635.95,31159834.65,29606129.79,45926144.66,43112599.65,32351074.99
"Cpn2",0,0,1927200.991,1152718.267,1792953.103,1287150.06
"Cpne1",25648238.96,17229069.9,26432830.35,60111560.46,54934270.95,52610060.06
"Cpne2",952615.1021,1189666.986,1176251.525,2000953.832,1995055.785,1694950.403
"Cpne3",20973439.77,26290929.95,16784270.67,71954253.28,58559229.28,62065663.03
"Cpox",296588007.7,296901231.2,266636754.2,139183355.9,138087707.8,149492459.1
"Cpped1",23345829.98,32381377.11,31267633.81,53458395.75,41096314.49,48534782.56
"Cpq",55264987.71,64543373.12,41336892.25,53126020.19,49416089.57,60780235.01
"Cps1",95221486.88,91141307.9,99927535.64,117182116.8,88814365.46,91289942.18
"Cpsf1",902660.8132,0,0,3540098.14,3218084.74,3000861.309
"Cpsf2",0,0,0,0,0,2057362.068
"Cpsf3",1122375.471,0,987028.3319,2360924.289,1748271.763,2292862.857
"Cpsf6",0,4630730.144,5152188.967,20520992.45,16518914.95,19383496.9
"Cpsf7",1286493.21,1117490.471,1360353.328,6115525.82,5194136.409,5169474.249
"Cpt1a",607517780.7,587651904.1,591998305,417852219.1,433438453.4,468241633.7
"Cpt1b",12645395.83,14259344.33,21519745.71,32164023.4,34511210.2,55612076.87
"Cpt2",0,0,0,0,0,0
"Cr1l",3399033.175,4120685.381,1604703.536,5338856.344,4288700.674,3084901.089
"Crat",292476669.7,355446168.2,339510343.5,126035489.2,120234883,114334772.7
"Crebzf",12577865.4,9097517.625,9252643.098,12161482.44,10159451.71,11690121.04
"Creg1",9890575.939,11709471.18,1831831.743,20501051.76,18157310.29,15920154.43
"Creld1",0,0,1003227.319,2161189.788,3372518.834,2172584.304
"Creld2",14156263.38,16123092.67,11776818.69,19454162.34,19575633.25,18392691.38
"Crem",1818727.034,2105895.594,1898272.173,5150922.135,3743045.901,4756289.038
"Crip1",13723120.74,20435839.17,24709418.46,125735267.3,89679024.44,101755104.5
"Crip2",72482624.5,57718577.97,65133493.19,165590970.5,174971095.2,159330293.7
"Crk",42119176.01,33003193.88,50592814.93,61810102.3,58265506.77,66549106.28
"Crkl",12620078.98,11363302.02,13807102.45,25670457.75,26243699.16,27720317.52
"Crnkl1",0,0,0,1086491.449,1186505.77,1019492.688
"Crocc",3262521.116,3042346.521,2853336.062,3130240.714,0,0
"Crot",888464503.7,1160678008,1171527947,35564363.4,38864835.7,38070298.19
"Cryab",17841421.85,39190772.33,52510231.75,329594566.1,372081001.1,369337920.7
"Cryl1",932596801.8,884653368.4,807095208,597374860.4,521728664.7,604236469.3
"Crym",15362258.16,9064157.574,13841638.56,6067874.244,13093395.06,10700275.84
"Cryz",1792869548,1745767668,1969089953,755384956.2,805820925.7,848948626.8
"Cryzl1",16807009.99,14590561.68,17730635.81,14275534.51,13619125.63,21467467.68
"Cryzl2",857737320.8,914748645.9,936916719.1,306975510.8,279889138,297233425.4
"Cs",1314730015,1310855790,1422891150,1572961002,1599296185,1728516378
"Csad",346832844,349443474.3,463011377,35860412.14,40758566.75,44630856.97
"Csde1",67491837.61,75707568.37,92590841.99,102187739.1,76583631.23,102781496.6
"Cse1l",51248066.09,49982941.15,44788527.8,94568965.1,78323964.01,84775477.63
"Csf1",0,1117165.04,0,6248830.515,6326391.506,5236520.696
"Csk",9167088.558,11547760.62,9535111.274,31735048.28,20185623.31,28190396.78
"Csnk1a1",8241917.093,11883293.73,10289457.98,23932276.76,21192527.67,24645232.69
"Csnk2a1",33080444.61,46156624.44,46774586.51,69973671.39,70616270.99,56786720.49
"Csnk2b",18939590.41,13249158.44,18164250.84,28395984.77,32031010.04,27217411.79
"Csrp1",166720080,199087446.1,173686791.6,461177256.8,469051083.2,427497062.4
"Csrp2",104852739.2,106206161.1,96415501.84,84561944.58,89232487.32,91313459.35
"Csrp3",0,0,0,0,0,0
"Cst3",7599839.074,6576304.18,6737258.236,16785883.06,14477143.83,12156451.73
"Cstb",134914696.6,128167233.5,146737335.5,490497500.5,412493742.5,434901319.7
"Cstf2",5438715.464,7998782.213,1554232.005,15744395.17,14795255.66,14976085.48
"Cstf3",3770518.481,3787533.463,3520046.707,4327278.418,4850103.342,4251788.175
"Ctbp1",11552370.78,13031171.03,13091442.81,28335472.87,23940331.69,27201762.68
"Ctbp2",3172738.529,3966356.017,0,19302566.54,21441831.92,16331288.54
"Ctc1",0,0,832622.4783,1232494.851,1046729.791,0
"Ctcf",2574348.129,863666.2461,1023057.993,1485350.424,1796457.813,301894.5358
"Cth",412750802.9,431982183.8,465725958.3,303091862,328671410.2,318681636
"Ctif",0,0,0,0,704703.393,672317.165
"Ctnna1",162417633.1,134797762.6,146733980.9,251241148.7,255733089.7,234503561.4
"Ctnnb1",160294148.3,146475735.6,148469238.6,193301229.5,199622286.6,169047075.9
"Ctnnbl1",5938037.205,5620359.589,6931282.639,10268696.08,9571246.772,9467148.868
"Ctnnd1",6264490.366,4419050.805,5202205.144,6902592.101,7777665.853,6584210.652
"Ctps1",14456140.23,4254776.131,10973836.59,69721229.9,67863228.34,68204056.03
"Ctps2",9248480.051,6983535.61,10568152.65,13310882.54,16181563.7,15080114.18
"Ctr9",108936381.3,131972964.2,121502552,13882927.18,31639417.84,19313814.95
"Ctsa",111891452.6,68230176.66,74836753.52,91825656.43,85070310.95,105371204.7
"Ctsb",346858618.1,322510336,297139517.2,608360158.7,586267996.1,643190974.1
"Ctsc",5272544.853,2307062.272,2274162.196,61450652.21,53981147.3,75312940.76
"Ctsd",186501084.1,198725504.7,206692076.5,1234316306,1217129843,1266966329
"Ctsf",76354664.5,90281633.03,74819007.12,72282980.92,78706154.07,75366619.59
"Ctsh",136778276.4,143999003.2,130443499.1,79022820.06,164228286.7,200472124.3
"Ctsk",0,0,0,9879598.073,4596162.42,4937132.312
"Ctsl",30284468.08,32141599.22,27238662.22,54166085.57,55600568.87,74028425.32
"Ctss",12715681.13,9898041.631,9435328.549,82566730.01,95742350.95,98736379.71
"Ctsz",111612927.5,114970077.6,104778790.7,202844959,181452000.5,226972195.2
"Cttn",174501277.6,174737914.5,181017185.9,359278203.5,336069271.6,343870867.4
"Cubn",716661565.4,615142619.6,635887825.9,451959861.9,428756354.4,506103203.3
"Cul1",17011876.13,11903217.81,16291704.77,36234693.36,30608754.01,37660640.41
"Cul2",18902322.26,20232003.94,13640426.09,25860112.97,21680234.39,21698138.74
"Cul4a",1391790.892,704928.1298,4003974.445,4863213.99,6630717.499,5749021.537
"Cul5",16727345.68,16159534.6,9732023.947,27179419.14,26157787.93,31792000.9
"Cuta",8685170.984,7749599.494,8173908.083,11231910.24,12318157.46,12621185.5
"Cutc",6349199.153,6115684.042,9086359.229,15938515.58,13991947.35,12421974.91
"Cwc15",5948913.616,9167502.847,9875456.499,10639898.44,9429410.226,8476032.274
"Cx3cl1",0,0,0,1586308.501,1850496.227,1418057.378
"Cxadr",11224443.96,9392175.14,0,10040003.36,16935252.12,11979584.38
"Cyb5a",1933637879,1910745982,1847388721,482209808.8,433343195.7,479725913.3
"Cyb5b",416207257,382021672.3,337354261.7,440346425.2,401293602.9,425909962.3
"Cyb5r1",12213279.97,7041465.312,11035677.37,9471166.749,13871772.26,12899298.75
"Cyb5r3",507190291,481323614.5,482311767.5,525237065.5,499685637.6,520124340.7
"Cybb",0,0,0,6317434.392,4626546.281,4304394.21
"Cybc1",1317565.551,0,2027786.414,7636846.713,5547292.015,5813646.282
"Cyc1",1111414842,1091721551,1128769677,1035576694,1112233358,1041982303
"Cycs",2633233019,2621062473,2791961786,2225259712,2424081549,2423256408
"Cyfip1",14377911.7,15690382.12,12047828.9,31971859.97,23908213.46,48218043.17
"Cyfip2",0,0,0,5423992.017,805167.8204,1118541.829
"Cygb",0,0,0,22200442.93,19770550.99,15331580.22
"Cyld",10881634.57,10292673.38,8816460.632,9673511.226,12344732.62,12814733.21
"Cyp17a1",0,0,1587196.076,0,0,0
"Cyp1a2",18918715.69,20968490.34,11626872.57,15306872.75,10796484.61,8238484.057
"Cyp1b1",0,0,0,5297463.202,4033909.178,4292792.837
"Cyp20a1",22731378.18,35371921.81,25656781.47,30488064.54,26439011.46,10851846.79
"Cyp27a1",35068540.57,30192273.01,30944065.91,14776931.23,13027700.44,15532396.71
"Cyp2a12",8982747.856,5424554.063,7920640.895,40121581.33,5841926.543,8418856.416
"Cyp2a4",22100374.81,15022216.11,16498036.55,0,0,0
"Cyp2a5",31790496.57,29048116.23,25316151.3,28781100.7,27029430.66,26772216.03
